depth         color          imu
9743821  9745317  9727419
9777190  9778655  9756132
9810560  9811993  9788815
9877298  9878669  9854280
9910667  9912008  9891107
9944037  9945346  9928010
9977406  9978684  9956773
10010775  10012022  9993673
10044144  10045360  10022465
10077514  10078698  10054933
10110883  10112036  10091850
10144252  10145374  10128739
10177621  10178713  10157458
10210991  10212051  10194276
10244360  10245389  10223048
10277729  10278727  10255619
10311098  10312065  10292481
10344468  10345403  10321248
10377837  10378741  10358131
10444575  10445418  10423692
10477945  10478756  10460585
10511314  10512094  10489330
10544683  10545432  10530088
10578052  10578770  10558717
10611422  10612108  10595652
10644791  10645446  10624366
10678160  10678784  10661197
10711529  10712123  10689987
10744899  10745461  10722552
10778268  10778799  10759466
10811637  10812137  10788138
10845006  10845475  10825042
10878376  10878813  10861938
10911745  10912151  10890654
10978483  10978828  10960125
11011853  11012166  10988785
11045222  11045504  11025687
11078591  11078842  11054495
11111960  11112180  11091469
11145330  11145518  11128254
11178699  11178856  11160820
11212068  11212194  11189499
11245437  11245533  11226490
11278807  11278871  11263254
11312176  11312209  11292042
11345545  11345547  11328924
11412284  11412223  11390132
11445653  11445561  11427055
11479022  11478899  11463942
11512391  11512238  11492744
11545761  11545576  11529584
11579130  11578914  11558339
11612499  11612252  11590859
11645868  11645590  11627757
11679238  11678928  11656506
11712607  11712266  11693389
11745976  11745604  11730265
11779345  11778943  11758994
11812715  11812281  11791534
11846084  11845619  11828471
11879453  11878957  11865318
11946192  11945633  11922748
11979561  11978971  11959631
12012930  12012309  11992326
12046299  12045648  12025289
12079669  12078986  12057782
12113038  12112324  12094655
12146407  12145662  12123428
12179776  12179000  12160296
12213146  12212338  12197173
12246515  12245676  12226012
12279884  12279014  12258464
12313253  12312353  12295348
12346623  12345691  12324108
12379992  12379029  12361036
12413361  12412367  12397885
12446730  12445705  12426621
12480100  12479043  12459304
12546838  12545719  12524805
12580207  12579058  12561684
12613577  12612396  12590449
12646946  12645734  12627326
12680315  12679072  12659907
12713684  12712410  12696693
12747054  12745748  12725508
12780423  12779086  12762372
12813792  12812424  12791092
12847161  12845763  12828013
12880531  12879101  12860578
12913900  12912439  12897451
12947269  12945777  12926172
12980638  12979115  12963021
13014008  13012453  12991833
13047377  13045791  13028675
13114115  13112468  13057403
13147485  13145806  13126825
13180854  13179144  13163663
13214223  13212482  13192484
13247592  13245820  13229318
13280962  13279158  13266210
13314331  13312496  13290630
13347700  13345834  13327559
13381069  13379173  13364451
13414439  13412511  13393129
13447808  13445849  13429994
13481177  13479187  13458820
13514546  13512525  13491291
13547916  13545863  13528166
13614654  13612539  13565072
13648023  13645878  13630668
13681393  13679216  13659479
13714762  13712554  13696290
13748131  13745892  13728886
13781500  13779230  13765717
13814870  13812568  13794527
13848239  13845906  13831322
13881608  13879244  13860072
13914977  13912583  13896925
13948347  13945921  13925758
13981716  13979259  13966455
14015085  14012597  13995183
14048454  14045935  14032076
14081824  14079273  14060853
14115193  14112611  14097682
14181931  14179288  14158919
14215301  14212626  14195805
14248670  14245964  14224528
14282039  14279302  14261450
14315408  14312640  14298302
14348778  14345978  14327058
14382147  14379316  14359652
14415516  14412654  14396497
14448885  14445993  14433324
14482255  14479331  14462158
14515624  14512669  14498968
14548993  14546007  14527774
14582362  14579345  14560379
14649101  14646021  14597249
14682470  14679359  14662827
14715839  14712698  14699646
14749209  14746036  14728407
14782578  14779374  14765260
14815947  14812712  14794047
14849316  14846050  14834756
14882686  14879388  14863460
14916055  14912726  14900268
14949424  14946064  14929061
14982793  14979403  14965851
15016163  15012741  14994640
15049532  15046079  15031518
15082901  15079417  15064094
15116270  15112755  15100946
15149640  15146093  15129755
15216378  15212769  15195269
15249747  15246108  15232084
15283117  15279446  15269011
15316486  15312784  15293447
15349855  15346122  15330290
15383224  15379460  15367174
15416594  15412798  15395917
15449963  15446136  15432813
15483332  15479474  15469680
15516701  15512813  15494167
15550071  15546151  15531037
15583440  15579489  15568098
15616809  15612827  15596665
15650178  15646165  15633532
15683548  15679503  15662324
15750286  15746179  15731701
15783655  15779518  15768553
15817025  15812856  15797364
15850394  15846194  15834199
15883763  15879532  15862932
15917132  15912870  15895583
15950502  15946208  15932489
15983871  15979546  15961121
16017240  16012884  15997963
16050609  16046223  16034820
16083979  16079561  16063563
16117348  16112899  16100476
16150717  16146237  16129247
16217456  16212913  16198615
16250825  16246251  16235480
16284194  16279589  16264228
16317563  16312928  16301061
16350933  16346266  16329847
16384302  16379604  16366681
16417671  16412942  16403572
16451040  16446280  16432304
16484410  16479618  16464858
16517779  16512956  16501753
16551148  16546294  16530461
16584517  16579633  16567365
16617887  16612971  16604237
16684625  16679647  16661705
16717994  16712985  16698576
16751364  16746323  16731124
16784733  16779661  16768019
16818102  16812999  16796729
16851471  16846338  16833608
16884841  16879676  16862379
16918210  16913014  16894943
16951579  16946352  16931776
16984948  16979690  16968678
17018318  17013028  16997511
17051687  17046366  17034320
17085056  17079704  17063086
17118425  17113043  17099965
17151795  17146381  17132538
17218533  17213057  17169349
17251902  17246395  17234940
17285272  17279733  17271802
17318641  17313071  17300552
17352010  17346409  17333144
17385379  17379748  17369976
17418749  17413086  17398734
17452118  17446424  17435585
17485487  17479762  17464385
17518856  17513100  17501294
17552226  17546438  17529959
17585595  17579776  17566832
17618964  17613114  17599410
17685703  17679791  17664959
17719072  17713129  17701810
17752441  17746467  17730583
17785810  17779805  17767485
17819180  17813143  17800074
17852549  17846481  17828820
17885918  17879819  17865678
17919287  17913158  17902519
17952657  17946496  17931300
17986026  17979834  17964465
18019395  18013172  18000764
